Value,Count,EVT_NAME,LFRDB,EVT_FUEL,EVT_FUEL_N,EVT_LF,EVT_PHYS,EVT_GP,EVT_GP_N,SAF_SRM,EVT_ORDER,EVT_CLASS,EVT_SBCLS,R,G,B,RED,GREEN,BLUE
7262,27.00000000000,East Cascades Oak Forest and Woodland,7060,2262,Tr East Cascades Oak Forest and Woodland,Tree,Hardwood,610,Conifer-Oak Forest and Woodland,SAF 237: Interior Ponderosa Pine,Tree-dominated,Open tree canopy,Deciduous open tree canopy,214,255,181,0.83921600000,1.00000000000,0.70980400000
7263,23.00000000000,East Cascades Oak-Ponderosa Pine Forest and Woodland,7060,2263,Tr East Cascades Oak - Ponderosa Pine Forest and Woodland,Tree,Conifer-Hardwood,610,Conifer-Oak Forest and Woodland,SAF 237: Interior Ponderosa Pine,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,214,255,181,0.83921600000,1.00000000000,0.70980400000
7292,18740.00000000000,Open Water,7292,11,Ba Open Water,Water,Open Water,11,Open Water,LF 11: Water,Non-vegetated,Non-vegetated,Non-vegetated,0,0,255,0.00000000000,0.00000000000,1.00000000000
7295,28.00000000000,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,7295,32,Bab Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Barren,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,32,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,LF 20: Developed,Non-vegetated,Non-vegetated,Developed,230,232,250,0.90196100000,0.90980400000,0.98039200000
7296,3277.00000000000,Developed-Low Intensity,7296,2902,Bau Developed-Low Intensity,Developed,Developed-Low Intensity,22,Developed-Low Intensity,LF 20: Developed,No Dominant Lifeform,No Dominant Lifeform,Developed,255,122,143,1.00000000000,0.47843100000,0.56078400000
7297,1225.00000000000,Developed-Medium Intensity,7297,2903,Bau Developed-Medium Intensity,Developed,Developed-Medium Intensity,23,Developed-Medium Intensity,LF 20: Developed,No Dominant Lifeform,No Dominant Lifeform,Developed,253,44,79,0.99215700000,0.17254900000,0.30980400000
7298,576.00000000000,Developed-High Intensity,7298,2904,Bau Developed-High Intensity,Developed,Developed-High Intensity,24,Developed-High Intensity,LF 20: Developed,No Dominant Lifeform,No Dominant Lifeform,Developed,173,0,28,0.67843100000,0.00000000000,0.10980400000
7299,6497.00000000000,Developed-Roads,7299,2905,Bau Developed-Roads,Developed,Developed-Roads,25,Developed-Roads,LF 20: Developed,No Dominant Lifeform,No Dominant Lifeform,Developed,1,1,1,0.00392200000,0.00392200000,0.00392200000
7662,555.00000000000,Temperate Pacific Freshwater Emergent Marsh,7662,2662,He Temperate Pacific Freshwater Emergent Marsh,Herb,Riparian,765,Freshwater Marsh,SRM 909: Freshwater Marsh,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid,255,153,0,1.00000000000,0.60000000000,0.00000000000
7663,11.00000000000,North Pacific Shrub Swamp,7663,2663,Sh North Pacific Shrub Swamp,Shrub,Shrubland,774,Shrub Swamp,SRM 917: Tall Shrub Swamp,Shrub-dominated,Shrubland,Deciduous shrubland,166,76,17,0.65098000000,0.29803900000,0.06666700000
